
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top, 24466, 26441, 6242, 0, 2, 60, 107, 15, 111
.	. APB3, 0, 178, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_32_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_16_6_19, 0, 178, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 123, 0, 0, 0, 0, 0, 0, 0
.	. AXI4_Interconnect, 3096, 2961, 278, 0, 0, 0, 44, 1, 0
.	.	. COREAXI4INTERCONNECT_Z94_layer1, 3096, 2961, 278, 0, 0, 0, 44, 1, 0
.	.	.	. caxi4interconnect_Axi4CrossBar_Z77_layer1, 308, 1021, 49, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_AddressController_Z79_layer1, 74, 126, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z84_layer1, 10, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z80_layer1, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_5s_1s_1s_2s_2s_9s_1s, 10, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z84_layer1_3, 9, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_5s_1s_1s_2s_2s_9s_1s_2, 9, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RoundRobinArb_2s_1s_1s_0, 8, 28, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z78_layer1_0, 47, 54, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_AddressController_Z88_layer1, 78, 128, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z84_layer1_0, 10, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z80_layer1_0, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_2s_3s_0s_32s_32s_0s_0_2147483648_2147549183_81_layer1_1, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_2s_3s_1s_32s_32s_0s_0_2147549184_2164260863_82_layer1_1, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_2s_3s_2s_32s_32s_0s_0_1610612736_1627389951_83_layer1_1, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_5s_1s_1s_2s_2s_9s_1s_0, 10, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z84_layer1_3_0, 9, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z80_layer1_2_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_2s_3s_2s_32s_32s_0s_0_1610612736_1627389951_83_layer1_2, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_5s_1s_1s_2s_2s_9s_1s_2_0, 9, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RoundRobinArb_2s_1s_1s_0_0, 8, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z78_layer1_1, 51, 53, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_DERR_Slave_Z93_layer1, 32, 28, 9, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RDataController_Z85_layer1, 42, 368, 22, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_ReadDataController_Z86_layer1, 21, 172, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_1s_4s_2s_4s_64s_0s_1s_15_5s_7s, 6, 145, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RequestQual_4s_1s_4s_1s_5s_0, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RoundRobinArb_4s_2s_1s_0, 15, 23, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_ReadDataController_Z87_layer1, 21, 192, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_1s_4s_2s_4s_64s_0s_1s_15_5s_7s_0, 6, 166, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RequestQual_4s_1s_4s_1s_5s_1, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RoundRobinArb_4s_2s_1s_0_0, 15, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RespController_Z92_layer1, 18, 39, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RoundRobinArb_4s_2s_0s_0, 11, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_SlaveDataMuxController_Z91_layer1, 7, 18, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_WDataController_Z89_layer1, 64, 332, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_1s_2, 16, 22, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_1s_4s, 5, 4, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_1s_2_0, 16, 22, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_1s_4s_0, 5, 4, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_1s_2_1, 16, 22, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_1s_4s_1, 5, 4, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_1s_2_2, 16, 22, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_1s_4s_2, 5, 4, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z90_layer1, 0, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z90_layer1_0, 0, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z90_layer1_2, 0, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z97_layer1, 478, 254, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_0, 478, 254, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_0, 86, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_4, 86, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_2, 144, 75, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_78s_0_1_3_2, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_2, 14, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z99_layer1, 470, 257, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_1, 470, 257, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_1, 82, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_2, 82, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_0, 144, 82, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_78s_0_1_3_0, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_0, 14, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_ResetSycnc_1, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. caxi4interconnect_SlaveConvertor_Z103_layer1, 442, 309, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_5s_32s_64s_0s_1s_2, 410, 220, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_68s_0_1_3_3, 54, 30, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_68s_0_1_3_4, 54, 30, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_73s_0_1_3_3, 142, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_79s_0_1_3_0, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_8s_0_1_3_3, 12, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_SlvProtocolConverter_Z101_layer1, 32, 89, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_5s_4s_0_2, 16, 45, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FIFO_16s_5s_5s_15s_0s_16s_4s_0s_15s_1_0, 16, 40, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_0s_4s_16s_0s_1_0, 16, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_5s_0s_0, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_5s_4s_0_3, 16, 44, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FIFO_16s_5s_5s_15s_0s_16s_4s_0s_15s_1, 16, 40, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_0s_4s_16s_0s_1, 16, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_5s_0s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	. caxi4interconnect_SlaveConvertor_Z107_layer1, 740, 560, 0, 0, 0, 0, 26, 0, 0
