@W: BN309 |One or more non-fatal issues found in constraints; Please run Constraint Check for analysis
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreddr_tip\2.0.100\rtl\vlog\core\coreddr_tip_int.v":1051:0:1051:5|Removing sequential instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.REFCLK_DELAY_LINE_DIRECTION because it is equivalent to instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.CMD_DELAY_LINE_DIRECTION. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreddr_tip\2.0.100\rtl\vlog\core\coreddr_tip_int.v":1051:0:1051:5|Removing sequential instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.DQSW270_DELAY_LINE_DIRECTION[1:0] because it is equivalent to instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.DQSW_DELAY_LINE_DIRECTION[1:0]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_reset_reg.v":72:3:72:8|Register bit DMCONTROL.reg_29.q (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_TLDEBUG_MODULE_OUTER_DM_OUTER(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_reset_reg.v":72:3:72:8|Register bit DMCONTROL.reg_27.q (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_TLDEBUG_MODULE_OUTER_DM_OUTER(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_reset_reg.v":72:3:72:8|Register bit DMCONTROL.reg_26.q (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_TLDEBUG_MODULE_OUTER_DM_OUTER(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: FA239 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreapb3\4.1.100\rtl\vhdl\core\coreapb3.vhd":648:12:648:15|ROM iPSELS_raw_17[13:0] (in view: coreapb3_lib.CoreAPB3_32_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_16_6_19(coreapb3_arch)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreapb3\4.1.100\rtl\vhdl\core\coreapb3.vhd":648:12:648:15|ROM iPSELS_raw_17[13:0] (in view: coreapb3_lib.CoreAPB3_32_0_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_16_6_19(coreapb3_arch)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_0.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_0.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_0.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_1.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_1.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_1.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_2.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_2.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_2.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
