
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top, 22730, 23674, 6024, 0, 2, 60, 94, 15, 56
.	. APB3, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z112_layer1, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 14, 0, 0, 0, 0, 0, 0, 0
.	. AXI4_Interconnect, 3096, 2946, 290, 0, 0, 0, 44, 1, 0
.	.	. COREAXI4INTERCONNECT_Z92_layer1, 3096, 2946, 290, 0, 0, 0, 44, 1, 0
.	.	.	. caxi4interconnect_Axi4CrossBar_Z75_layer1, 308, 1019, 51, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_AddressController_Z77_layer1, 74, 126, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z82_layer1, 10, 25, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z78_layer1, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_5s_1s_1s_2s_2s_9s_1s, 10, 22, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z82_layer1_3, 9, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_2s_5s_1s_1s_2s_2s_9s_1s_2, 9, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RoundRobinArb_2s_1s_1s_0, 8, 28, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z76_layer1_0, 47, 54, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_AddressController_Z86_layer1, 78, 128, 0, 0, 0, 0, 0, 0, 0
